annualized,mean,std,sharpe,alpha,beta,var,tvar
208,215,227,344,235,330,649,781
325,352,355,529,380,382,625,652
276,297,322,455,323,356,680,692
201,208,235,320,220,409,668,773
235,248,260,398,261,436,622,749
332,361,378,529,385,423,550,619
342,373,401,529,395,436,524,582
306,328,305,529,337,535,546,679
341,368,346,565,403,343,664,653
282,300,270,507,310,507,583,714
258,272,237,476,293,369,688,764
342,370,361,555,392,436,557,647
230,242,256,388,256,423,626,753
339,364,328,570,389,409,650,679
208,215,221,348,236,330,700,768
237,251,269,398,262,450,632,725
210,219,243,344,234,382,703,756
325,355,385,513,377,436,551,607
263,280,278,455,296,436,664,715
248,258,202,481,289,283,747,804
225,235,242,383,247,436,670,749
355,383,357,581,408,423,596,646
229,240,249,388,256,409,641,767
255,269,257,449,283,436,662,751
230,244,293,368,248,535,604,705
240,258,322,378,274,409,533,688
312,336,324,529,364,369,601,679
198,209,324,284,220,436,507,665
210,217,212,363,239,318,763,787
195,202,241,302,214,409,703,756
398,424,336,660,454,409,632,664
336,364,363,544,391,409,586,640
227,236,217,408,259,330,690,782
223,231,204,408,259,283,748,814
232,246,283,378,253,492,632,711
228,236,193,434,265,271,735,811
324,350,350,529,374,409,618,652
201,208,246,315,224,369,631,770
203,213,273,311,219,478,577,715
234,247,258,398,259,450,626,753
217,226,241,363,245,369,687,761
212,225,311,320,240,395,597,699
228,235,187,439,267,260,799,822
289,311,328,481,341,343,643,677
232,242,221,418,260,382,676,775
216,222,191,398,251,260,773,813
205,210,190,363,236,271,738,824
207,213,205,358,235,318,710,792
265,285,318,434,310,356,650,683
212,220,230,358,240,343,724,769
172,173,210,247,192,294,723,796
217,228,269,348,246,369,664,743
230,245,309,363,258,450,600,691
215,225,254,348,234,450,599,741
293,312,278,523,351,271,758,739
215,225,253,353,237,436,631,751
231,242,236,403,258,395,701,760
230,242,249,393,252,464,637,747
232,243,241,403,257,423,633,757
240,251,223,439,268,395,701,784
199,206,242,311,222,369,722,756
239,256,321,378,284,306,667,685
303,331,392,470,362,343,591,601
241,252,222,444,277,330,707,782
299,322,333,497,350,369,643,672
215,224,248,353,243,356,689,753
210,219,255,339,240,330,657,748
183,188,253,263,201,382,642,744
198,205,240,311,223,356,684,762
252,262,201,492,288,330,731,804
218,223,165,434,259,210,828,853
161,161,203,221,176,318,772,798
247,258,222,460,279,369,709,785
200,207,236,315,220,395,675,763
213,219,201,378,245,294,755,821
199,203,195,339,229,260,783,817
