top,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
30,-1,-1,0,-1,0,0,0,0,0,-1,0,203.71,24.88,23.7,20.04,1.21,73.15,0.29,1.05,-28.65,-1.8,-45.86,-2.89
30,-1,-1,0,-1,0,1,-1,-1,1,0,1,76.16,11.99,12.43,16.41,0.8,15.49,0.06,1.05,-27.5,-1.73,-39.13,-2.46
30,-1,-1,0,-1,1,-1,-1,-1,-1,0,0,80.68,12.56,12.8,15.92,0.84,19.99,0.08,1.0,-24.58,-1.55,-37.2,-2.34
30,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,67.14,10.82,11.38,16.55,0.73,12.64,0.05,1.0,-27.69,-1.74,-38.72,-2.44
30,-1,-1,0,-1,1,-1,-1,1,1,0,1,129.55,18.08,17.51,16.09,1.13,44.52,0.18,0.99,-25.48,-1.61,-37.88,-2.39
30,-1,-1,0,-1,1,-1,0,0,0,0,-1,201.89,24.73,23.36,18.97,1.26,75.56,0.3,0.97,-27.19,-1.71,-43.67,-2.75
30,-1,-1,0,-1,1,-1,0,1,1,1,1,123.3,17.43,16.87,15.5,1.13,41.86,0.17,0.98,-25.74,-1.62,-36.18,-2.28
30,-1,-1,0,-1,1,-1,1,0,1,1,1,88.19,13.48,13.45,15.04,0.94,24.68,0.1,0.97,-25.17,-1.59,-35.05,-2.21
30,-1,-1,0,-1,1,-1,1,1,0,1,0,106.35,15.59,15.18,14.38,1.1,35.5,0.14,0.93,-24.15,-1.52,-33.33,-2.1
30,-1,-1,0,-1,1,0,0,-1,-1,-1,1,53.72,8.98,9.62,15.56,0.66,4.08,0.02,0.99,-24.68,-1.55,-36.64,-2.31
30,-1,-1,0,-1,1,0,1,0,-1,-1,0,162.06,21.25,20.52,18.32,1.15,60.69,0.24,0.97,-26.36,-1.66,-41.9,-2.64
30,-1,-1,0,-1,1,1,0,1,1,1,1,110.22,16.02,15.77,15.83,1.04,33.64,0.13,1.03,-25.24,-1.59,-37.14,-2.34
30,-1,-1,0,0,-1,-1,-1,1,1,1,1,128.78,18.0,17.63,17.46,1.05,39.46,0.16,1.11,-29.88,-1.88,-40.93,-2.58
30,-1,-1,0,0,-1,-1,0,0,-1,-1,0,151.64,20.27,19.93,19.51,1.05,53.44,0.21,1.06,-27.83,-1.75,-45.27,-2.85
30,-1,-1,0,0,-1,-1,1,-1,0,-1,0,61.2,10.02,10.67,16.6,0.68,6.75,0.03,1.05,-27.45,-1.73,-38.95,-2.45
30,-1,-1,0,0,-1,0,-1,-1,0,-1,0,76.94,12.09,12.65,17.56,0.76,15.14,0.06,1.09,-28.39,-1.79,-41.15,-2.59
30,-1,-1,0,0,-1,0,-1,1,-1,0,1,108.68,15.85,15.77,16.8,0.98,31.45,0.12,1.08,-28.35,-1.79,-39.3,-2.48
30,-1,-1,0,0,-1,0,0,0,1,-1,1,76.94,12.09,12.65,17.2,0.77,14.43,0.06,1.1,-28.0,-1.76,-40.82,-2.57
30,-1,-1,0,0,-1,0,0,1,0,1,-1,179.25,22.8,21.73,18.22,1.23,58.48,0.23,1.15,-29.06,-1.83,-42.06,-2.65
30,-1,-1,0,0,-1,0,1,-1,0,1,0,54.5,9.09,10.11,17.64,0.61,-1.05,-0.0,1.15,-29.25,-1.84,-41.9,-2.64
