w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
0,-1,-1,-1,1,-1,0,0,0,0,-1,1.18,23.6,-27.12,-4.50104,92
-1,-1,0,0,-1,1,1,0,0,-1,0,1.08,20.8,-29.78,-4.54776,93
-1,-1,-1,-1,0,0,1,0,1,0,-1,1.18,24.03,-29.61,-4.74517,94
-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,1.21,25.32,-30.55,-4.9068000000000005,95
-1,0,-1,-1,1,-1,0,1,0,0,-1,1.06,18.25,-26.88,-4.17171,96
-1,0,-1,-1,-1,-1,-1,0,1,1,0,1.0,18.14,-29.12,-4.3139400000000006,97
-1,0,-1,-1,-1,0,0,0,0,-1,-1,1.14,24.17,-31.04,-4.84163,98
-1,0,0,-1,-1,0,-1,0,0,1,-1,0.9,15.94,-30.09,-4.226179999999999,99
-1,0,0,-1,-1,-1,1,0,1,0,-1,1.15,23.13,-28.14,-4.54843,100
-1,0,-1,-1,-1,1,1,0,0,-1,-1,1.18,24.3,-29.53,-4.74726,101
-1,-1,0,0,-1,-1,1,1,0,1,-1,0.87,13.93,-27.93,-3.92711,102
-1,-1,-1,0,1,-1,0,0,0,0,-1,1.31,26.02,-28.42,-4.83534,103
-1,-1,0,-1,0,0,1,0,0,-1,-1,1.28,25.74,-27.06,-4.67042,104
-1,-1,-1,-1,0,-1,-1,0,0,0,-1,1.15,23.71,-29.56,-4.69937,105
-1,-1,0,-1,-1,-1,0,0,0,0,0,1.2,25.76,-31.06,-4.95912,106
-1,0,1,0,-1,1,1,1,0,0,-1,0.88,13.55,-25.39,-3.69013,107
-1,-1,-1,-1,-1,0,1,0,0,-1,0,1.13,23.46,-30.45,-4.7525,108
-1,-1,-1,0,-1,-1,0,0,0,0,-1,1.18,25.35,-30.62,-4.88429,109
-1,-1,0,-1,-1,1,-1,0,0,-1,-1,1.22,26.52,-30.65,-4.968,110
-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,1.13,23.4,-29.32,-4.64644,111
-1,0,0,-1,-1,-1,0,0,0,-1,-1,1.14,23.66,-28.4,-4.5809,112
-1,-1,0,-1,-1,0,1,0,1,0,-1,1.29,27.36,-30.22,-5.02784,113
-1,-1,-1,-1,-1,0,1,0,0,0,-1,1.17,24.24,-29.77,-4.75724,114
-1,-1,0,0,-1,0,0,0,1,-1,-1,1.26,26.24,-29.15,-4.8602,115
