w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,-1,0,-1,-1,-1,-1,0,1,1,-1,1.34,28.23,-28.66,-4.96477,93
-1,-1,0,0,-1,-1,1,0,1,0,-1,1.3,26.81,-29.39,-4.94223,94
-1,-1,0,-1,0,0,-1,1,1,-1,-1,1.27,23.13,-27.05,-4.56815,95
-1,-1,0,0,0,-1,0,0,1,1,-1,1.32,25.96,-28.34,-4.8358799999999995,96
-1,-1,-1,0,-1,-1,0,1,1,0,-1,1.0,17.28,-27.86,-4.1679200000000005,97
-1,-1,0,0,-1,-1,1,0,1,1,-1,1.07,19.89,-28.06,-4.34767,98
1,-1,0,0,0,-1,-1,1,-1,0,1,0.48,5.53,-23.09,-2.7978300000000003,99
-1,-1,0,0,0,0,0,0,1,-1,-1,1.39,28.65,-29.5,-5.10675,100
-1,-1,0,0,0,0,0,0,1,0,-1,1.41,28.8,-28.98,-5.084160000000001,101
-1,-1,0,0,-1,-1,0,0,1,0,-1,1.22,25.36,-29.41,-4.81332,102
-1,-1,0,-1,0,0,0,0,1,1,-1,1.15,19.11,-27.68,-4.36541,103
-1,-1,0,0,0,0,-1,0,1,-1,-1,0.97,16.76,-28.53,-4.18136,104
-1,-1,0,-1,-1,-1,0,0,0,0,-1,1.18,25.54,-30.16,-4.84862,105
-1,-1,0,-1,-1,-1,0,0,1,0,-1,1.22,25.33,-29.2,-4.792949999999999,106
-1,-1,0,-1,0,-1,0,0,1,-1,-1,1.27,26.4,-27.84,-4.75528,107
-1,-1,0,0,-1,-1,0,0,1,-1,-1,1.24,25.56,-28.62,-4.76764,108
-1,-1,0,-1,0,-1,0,0,1,0,-1,1.3,26.77,-27.72,-4.787190000000001,109
-1,-1,0,-1,-1,-1,0,0,0,-1,-1,1.23,25.8,-29.11,-4.81112,110
-1,-1,-1,0,0,0,0,0,1,-1,-1,1.29,26.33,-28.91,-4.87127,111
-1,-1,0,0,0,-1,0,0,-1,0,-1,1.27,25.05,-27.29,-4.65743,112
-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1.05,21.13,-28.99,-4.4566300000000005,113
-1,-1,-1,-1,0,-1,0,0,1,0,0,1.25,26.17,-29.71,-4.89927,114
-1,-1,0,0,-1,1,0,0,1,0,-1,1.22,21.95,-28.64,-4.62313,115
-1,-1,-1,0,0,0,0,0,0,0,-1,1.29,27.68,-30.37,-5.05284,116
-1,-1,0,-1,0,0,0,0,1,0,-1,1.45,31.1,-27.85,-5.1007,117
-1,-1,-1,-1,0,0,0,0,1,-1,-1,1.25,26.09,-29.43,-4.87071,118
-1,-1,0,-1,-1,0,0,0,0,0,0,1.24,26.42,-30.31,-4.95322,119
1,1,1,0,1,-1,1,-1,-1,-1,0,0.6,7.13,-23.13,-2.9775099999999997,120
-1,-1,-1,-1,0,0,0,0,1,0,-1,1.37,29.74,-30.58,-5.224259999999999,121
-1,-1,-1,-1,0,-1,0,0,1,0,-1,1.27,26.35,-29.34,-4.8915299999999995,122
-1,0,-1,-1,0,0,0,0,1,0,-1,1.29,26.8,-28.6,-4.8592,123
-1,-1,0,-1,-1,0,0,0,0,0,-1,1.17,25.23,-31.41,-4.942769999999999,124
-1,0,1,-1,1,0,1,-1,1,1,1,0.89,12.57,-23.96,-3.5342700000000002,125
-1,-1,-1,-1,-1,0,0,0,1,0,0,1.29,28.08,-30.75,-5.1018,126
-1,-1,-1,0,0,0,0,0,1,0,-1,1.4,30.11,-30.11,-5.22397,127
-1,-1,0,-1,-1,0,0,0,1,0,-1,1.31,28.1,-29.89,-5.043380000000001,128
-1,-1,0,0,-1,0,0,0,1,0,0,1.08,19.65,-30.28,-4.55351,129
-1,-1,0,0,-1,0,0,0,-1,0,-1,1.24,25.36,-27.34,-4.64288,130
-1,-1,-1,-1,-1,-1,0,0,1,0,0,1.15,23.73,-30.19,-4.75803,131
-1,-1,-1,0,0,0,0,0,1,0,0,1.2,21.62,-29.47,-4.66794,132
1,-1,0,0,0,-1,0,0,-1,0,1,0.46,5.02,-22.2,-2.6780999999999997,133
-1,-1,-1,-1,-1,0,0,0,1,0,-1,1.23,26.42,-30.46,-4.95702,134
0,-1,1,0,0,0,-1,0,-1,1,1,0.82,11.49,-23.1,-3.34735,135
0,1,-1,0,0,0,-1,-1,1,1,1,0.67,8.95,-25.36,-3.31637,136
-1,-1,-1,-1,1,-1,1,1,0,-1,1,0.75,11.08,-27.49,-3.66688,137
-1,-1,0,0,0,0,0,0,0,0,-1,1.35,28.55,-29.72,-5.083489999999999,138
-1,-1,1,-1,0,0,0,0,1,0,-1,0.93,14.29,-27.51,-3.9610700000000003,139
-1,-1,0,-1,0,0,0,0,0,0,-1,1.24,26.25,-28.92,-4.81939,140
-1,-1,0,-1,-1,0,1,0,1,0,-1,1.29,27.36,-30.22,-5.02784,141
-1,-1,-1,0,-1,0,1,0,0,0,-1,1.22,25.04,-29.45,-4.8058,142
0,-1,-1,1,-1,0,-1,0,1,1,-1,0.88,13.76,-26.53,-3.80236,143
-1,-1,-1,-1,-1,0,1,0,1,0,-1,1.25,27.12,-32.04,-5.14688,144
-1,-1,-1,-1,0,-1,-1,0,1,0,-1,1.25,26.04,-29.48,-4.8735599999999994,145
-1,-1,-1,-1,0,0,1,0,1,0,-1,1.18,24.03,-29.61,-4.74517,146
-1,-1,0,-1,0,0,0,0,1,0,0,1.01,17.09,-27.85,-4.170350000000001,147
0,1,0,0,0,-1,1,0,-1,0,1,0.84,11.29,-23.03,-3.35391,148
-1,-1,-1,-1,0,0,0,0,0,0,-1,1.2,25.87,-29.92,-4.858090000000001,149
0,0,-1,0,0,0,1,-1,1,0,-1,0.71,9.2,-23.56,-3.1995199999999997,150
-1,-1,-1,0,-1,0,0,0,0,-1,-1,1.2,25.87,-30.53,-4.914210000000001,151
