w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,0,1,-1,-1,-1,0,0,0,0,-1,1.15,22.99,-27.73,-4.50581,143
-1,-1,-1,-1,-1,1,0,1,0,-1,1,0.9,15.53,-30.16,-4.21827,144
-1,0,1,0,0,-1,0,0,1,-1,1,0.69,9.43,-24.23,-3.2492099999999997,145
-1,-1,-1,-1,-1,-1,0,0,0,0,0,1.22,26.09,-31.16,-4.99987,146
-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1.1,22.53,-29.14,-4.5694300000000005,147
0,1,0,0,1,1,1,-1,-1,1,-1,0.87,11.39,-21.79,-3.27333,148
0,1,-1,0,-1,0,0,0,0,-1,-1,1.04,20.53,-28.56,-4.38607,149
-1,-1,-1,-1,1,0,0,0,0,1,-1,1.43,29.34,-27.04,-4.94458,150
-1,-1,0,-1,-1,-1,0,0,0,1,-1,1.23,26.38,-30.64,-4.97218,151
0,1,-1,1,-1,0,0,0,1,-1,-1,0.62,8.41,-25.51,-3.2612699999999997,152
-1,-1,-1,-1,-1,-1,1,0,0,1,1,1.13,22.58,-30.11,-4.69042,153
-1,-1,-1,-1,-1,-1,1,0,0,0,-1,1.23,26.22,-30.6,-4.962899999999999,154
-1,-1,0,-1,-1,0,0,0,0,1,-1,1.28,27.07,-29.97,-4.9846900000000005,155
0,-1,1,-1,-1,0,0,0,0,0,-1,1.21,25.39,-28.19,-4.692130000000001,156
-1,-1,-1,-1,-1,0,0,0,0,0,0,1.22,25.69,-30.51,-4.926070000000001,157
-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,1.21,25.32,-30.55,-4.9068000000000005,158
0,0,-1,-1,-1,0,0,0,0,0,-1,1.05,21.04,-28.05,-4.367,159
-1,-1,-1,-1,-1,0,1,0,0,0,-1,1.17,24.24,-29.77,-4.7572399999999995,160
-1,-1,0,-1,-1,-1,0,0,0,0,-1,1.18,25.54,-30.16,-4.84862,161
1,1,-1,1,-1,-1,0,-1,0,-1,0,0.36,3.78,-23.47,-2.65154,162
-1,-1,1,1,-1,-1,0,0,0,0,0,1.05,19.53,-27.66,-4.27827,163
-1,-1,-1,1,-1,1,1,0,0,-1,-1,1.05,19.95,-28.73,-4.3914100000000005,164
-1,-1,-1,0,-1,0,0,0,0,0,-1,1.21,25.75,-30.68,-4.933809999999999,165
-1,-1,-1,-1,-1,-1,0,0,0,1,-1,1.19,26.06,-32.05,-5.0507,166
-1,0,-1,-1,-1,1,0,1,0,1,-1,1.03,18.02,-28.73,-4.30386,167
0,-1,-1,-1,-1,1,0,-1,0,0,-1,0.78,12.58,-28.24,-3.81838,168
-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,1.21,25.18,-29.42,-4.7979400000000005,169
0,-1,-1,-1,-1,0,0,0,0,0,1,1.1,20.71,-26.86,-4.2959700000000005,170
-1,-1,-1,0,-1,-1,0,0,1,0,-1,1.22,25.25,-28.96,-4.76807,171
-1,-1,-1,0,-1,-1,0,0,0,1,-1,1.18,24.87,-30.76,-4.88037,172
-1,-1,-1,0,-1,1,0,0,0,0,-1,1.18,24.66,-30.69,-4.86658,173
-1,-1,0,1,0,-1,0,0,0,1,-1,1.13,20.79,-25.46,-4.19997,174
1,-1,0,1,0,1,0,-1,-1,0,0,0.78,10.28,-22.35,-3.196,175
-1,-1,-1,1,0,1,0,1,-1,0,-1,1.03,17.07,-27.55,-4.162050000000001,176
-1,-1,1,1,-1,-1,1,0,-1,0,-1,1.14,21.04,-25.66,-4.23712,177
-1,-1,-1,1,-1,1,0,0,-1,-1,-1,1.17,23.38,-28.81,-4.63882,178
-1,-1,1,1,1,1,0,0,-1,1,-1,0.76,10.59,-23.21,-3.2659700000000003,179
-1,0,-1,-1,-1,0,0,0,0,1,-1,1.17,24.44,-29.87,-4.773440000000001,180
-1,-1,-1,1,-1,-1,0,0,-1,1,1,1.01,19.26,-29.65,-4.4119,181
-1,-1,-1,1,-1,-1,-1,0,0,1,0,0.89,14.81,-28.9,-4.06715,182
-1,-1,-1,1,-1,1,-1,-1,-1,1,1,0.8,12.72,-27.73,-3.79636,183
-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,1.11,22.13,-28.38,-4.49551,184
-1,-1,-1,-1,-1,1,1,0,0,0,-1,1.23,25.03,-29.17,-4.78969,185
-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1.07,22.01,-30.85,-4.67855,186
-1,-1,-1,0,-1,1,-1,0,0,0,-1,1.06,19.64,-28.94,-4.40988,187
-1,-1,-1,-1,-1,0,-1,0,0,1,-1,1.26,27.0,-30.38,-4.99996,188
0,-1,1,-1,-1,-1,0,0,0,0,-1,1.07,21.57,-28.1,-4.41015,189
-1,-1,-1,-1,1,-1,0,0,0,1,-1,1.28,26.03,-27.86,-4.75417,190
-1,0,0,0,-1,0,0,0,0,1,-1,1.08,21.43,-30.68,-4.65261,191
1,-1,-1,-1,1,0,-1,1,0,0,-1,0.78,12.42,-26.03,-3.6094600000000003,192
-1,-1,-1,0,-1,0,0,0,1,1,-1,1.13,20.96,-29.59,-4.5858799999999995,193
-1,0,-1,-1,1,-1,0,0,0,1,-1,1.33,26.67,-27.67,-4.80909,194
-1,-1,1,-1,1,0,0,0,1,1,-1,1.01,14.12,-22.72,-3.5944399999999996,195
-1,-1,-1,-1,0,-1,0,0,0,-1,-1,1.18,24.63,-28.66,-4.67877,196
-1,-1,0,-1,-1,-1,0,0,1,0,0,1.2,25.21,-29.94,-4.83683,197
0,-1,1,0,0,0,1,1,0,0,-1,0.83,11.08,-23.04,-3.33748,198
-1,0,-1,-1,-1,-1,0,0,0,1,-1,1.17,24.42,-29.64,-4.751580000000001,199
-1,-1,-1,-1,-1,1,0,0,0,1,-1,1.27,25.71,-28.0,-4.745850000000001,200
-1,1,-1,-1,-1,-1,1,-1,1,0,0,0.67,9.78,-25.29,-3.3389800000000003,1
0,-1,-1,-1,0,-1,1,-1,1,1,1,0.73,10.25,-26.45,-3.52215,2
0,0,1,1,1,-1,0,1,-1,1,0,0.74,9.82,-22.29,-3.13438,3
1,0,-1,0,0,1,0,-1,0,0,0,0.72,9.25,-22.58,-3.12111,4
-1,-1,1,1,-1,1,0,-1,0,1,-1,0.81,13.0,-27.31,-3.77752,5
-1,0,0,-1,0,1,1,1,1,0,0,1.07,16.58,-25.84,-4.02758,6
-1,0,-1,1,0,-1,0,-1,1,0,-1,0.63,8.7,-26.19,-3.34398,7
1,0,-1,-1,1,-1,-1,-1,0,1,1,0.59,6.8,-21.69,-2.82348,8
0,1,0,-1,1,1,1,1,-1,-1,-1,0.81,10.23,-22.21,-3.21137,9
-1,0,1,1,-1,-1,-1,1,0,0,1,0.71,10.09,-25.0,-3.36315,10
