Date,Open,High,Low,Close,Adj Close,Volume
2017-04-27,86.690002,86.849998,86.690002,86.849998,86.849998,99
2017-04-28,86.870003,86.870003,86.739998,86.739998,86.739998,342
2017-05-02,87.489998,87.489998,87.489998,87.489998,87.489998,0
2017-05-03,87.250000,87.250000,87.250000,87.250000,87.250000,0
2017-05-04,87.540001,87.790001,87.540001,87.790001,87.790001,250
2017-05-05,87.720001,88.309998,87.720001,88.309998,88.309998,438
2017-05-08,88.660004,88.660004,88.040001,88.300003,88.300003,1699
2017-05-09,88.470001,88.639999,88.470001,88.639999,88.639999,19
2017-05-10,88.769997,88.900002,88.550003,88.900002,88.900002,10210
2017-05-11,88.629997,88.629997,88.629997,88.629997,88.629997,0
2017-05-12,88.510002,88.580002,88.510002,88.580002,88.580002,20
2017-05-15,88.779999,88.779999,88.650002,88.650002,88.650002,232
2017-05-16,88.529999,88.529999,88.510002,88.510002,88.510002,280
2017-05-17,88.099998,88.099998,87.260002,87.260002,87.260002,194
2017-05-18,86.970001,86.970001,86.970001,86.970001,86.970001,0
2017-05-19,87.589996,87.589996,87.589996,87.589996,87.589996,0
2017-05-22,87.760002,87.760002,87.650002,87.650002,87.650002,88
2017-05-23,87.989998,87.989998,87.989998,87.989998,87.989998,0
2017-05-24,88.089996,88.089996,88.089996,88.089996,88.089996,0
2017-05-25,88.269997,88.269997,88.110001,88.110001,88.110001,1520
2017-05-26,88.000000,88.000000,87.949997,87.949997,87.949997,28
2017-05-29,87.800003,87.959999,87.800003,87.959999,87.959999,202
2017-05-30,87.800003,87.889999,87.800003,87.889999,87.889999,3710
2017-05-31,87.800003,87.800003,87.550003,87.550003,87.550003,5000
2017-06-01,88.360001,88.360001,88.330002,88.330002,88.330002,1518
2017-06-02,88.459999,88.459999,88.459999,88.459999,88.459999,0
2017-06-06,87.690002,87.750000,87.449997,87.510002,87.510002,477
2017-06-07,87.419998,87.680000,87.419998,87.669998,87.669998,171
2017-06-08,87.959999,87.959999,87.720001,87.720001,87.720001,872
2017-06-09,87.080002,87.860001,87.080002,87.860001,87.860001,59
2017-06-12,86.989998,86.989998,86.809998,86.809998,86.809998,10
2017-06-13,87.540001,87.599998,87.540001,87.599998,87.599998,28
2017-06-14,87.580002,87.580002,87.580002,87.580002,87.580002,0
2017-06-15,86.949997,86.949997,86.949997,86.949997,86.949997,0
2017-06-16,87.260002,87.610001,87.260002,87.610001,87.610001,343
2017-06-19,88.190002,88.190002,88.190002,88.190002,88.190002,0
2017-06-20,88.059998,88.059998,87.550003,87.550003,87.550003,44
2017-06-21,87.120003,87.510002,87.120003,87.510002,87.510002,937
2017-06-22,87.290001,87.320000,87.250000,87.320000,87.320000,100
2017-06-23,87.190002,87.190002,87.190002,87.190002,87.190002,0
2017-06-26,87.300003,87.300003,87.300003,87.300003,87.300003,0
2017-06-27,87.199997,87.199997,86.410004,86.410004,86.410004,2122
2017-06-28,85.809998,86.599998,85.809998,86.480003,86.480003,778
2017-06-29,85.360001,85.360001,85.360001,85.360001,85.360001,0
2017-06-30,85.879997,86.040001,85.480003,85.480003,85.480003,228
2017-07-03,86.000000,86.040001,85.989998,85.989998,85.989998,355
2017-07-04,86.150002,86.199997,86.019997,86.199997,86.199997,52
2017-07-05,86.296997,86.296997,86.296997,86.296997,86.296997,0
2017-07-06,85.860001,85.860001,85.730003,85.860001,85.860001,348
2017-07-07,85.360001,85.680000,85.360001,85.680000,85.680000,300
2017-07-10,85.910004,85.949997,85.910004,85.949997,85.949997,58
2017-07-11,86.610001,86.610001,85.430000,85.430000,85.430000,491
2017-07-12,85.970001,86.459999,85.970001,86.459999,86.459999,319
2017-07-13,86.966003,86.966003,86.966003,86.966003,86.966003,0
2017-07-14,87.199997,87.199997,87.199997,87.199997,87.199997,149
2017-07-17,87.510002,87.510002,87.370003,87.370003,87.370003,257
2017-07-18,87.160004,87.160004,86.639999,86.639999,86.639999,1370
2017-07-19,86.699997,87.250000,86.699997,87.250000,87.250000,1
2017-07-20,87.279999,87.279999,86.809998,86.809998,86.809998,14
2017-07-21,86.730003,86.760002,86.029999,86.029999,86.029999,2946
2017-07-24,85.589996,85.720001,85.589996,85.720001,85.720001,210
2017-07-25,86.000000,86.000000,85.910004,85.910004,85.910004,53
2017-07-26,86.500000,86.589996,86.349998,86.589996,86.589996,3032
2017-07-27,86.720001,86.720001,86.720001,86.720001,86.720001,64
2017-07-28,86.290001,86.290001,85.760002,85.849998,85.849998,2409
2017-07-31,86.110001,86.180000,85.800003,85.800003,85.800003,86
2017-08-01,86.363998,86.363998,86.363998,86.363998,86.363998,0
2017-08-02,86.050003,86.050003,86.050003,86.050003,86.050003,0
2017-08-03,86.042000,86.042000,86.042000,86.042000,86.042000,0
2017-08-04,86.000000,86.849998,85.970001,86.760002,86.760002,1120
2017-08-07,86.699997,86.699997,86.639999,86.639999,86.639999,20
2017-08-08,86.650002,86.739998,86.650002,86.739998,86.739998,615
2017-08-09,86.449997,86.459999,86.180000,86.180000,86.180000,428
2017-08-10,86.230003,86.230003,85.570000,85.570000,85.570000,261
2017-08-11,85.570000,85.570000,85.570000,85.570000,85.570000,0
2017-08-14,85.550003,85.550003,85.540001,85.540001,85.540001,175
2017-08-15,85.839996,85.839996,85.519997,85.519997,85.519997,192
2017-08-16,86.250000,86.250000,86.150002,86.150002,86.150002,465
2017-08-17,85.959999,85.959999,85.889999,85.889999,85.889999,93
2017-08-18,85.230003,85.230003,85.160004,85.160004,85.160004,58
2017-08-21,85.050003,85.120003,84.910004,84.910004,84.910004,645
2017-08-22,85.470001,85.540001,85.330002,85.540001,85.540001,268
2017-08-23,85.540001,85.540001,85.540001,85.540001,85.540001,0
2017-08-24,85.540001,85.540001,85.540001,85.540001,85.540001,0
2017-08-25,85.300003,85.300003,85.080002,85.080002,85.080002,122
2017-08-28,84.940002,84.940002,84.360001,84.360001,84.360001,145
2017-08-29,83.300003,83.599998,83.300003,83.599998,83.599998,36
2017-08-30,83.599998,83.599998,83.599998,83.599998,83.599998,0
2017-08-31,83.599998,83.599998,83.599998,83.599998,83.599998,0
2017-09-01,83.599998,83.599998,83.599998,83.599998,83.599998,0
2017-09-04,85.239998,85.239998,85.099998,85.099998,85.099998,68
2017-09-05,85.099998,85.099998,85.099998,85.099998,85.099998,0
2017-09-06,84.650002,85.029999,84.650002,85.029999,85.029999,118
2017-09-07,85.029999,85.029999,85.029999,85.029999,85.029999,0
2017-09-08,85.180000,85.430000,85.099998,85.430000,85.430000,425
2017-09-11,85.870003,86.339996,85.870003,86.339996,86.339996,80
2017-09-12,86.339996,86.339996,86.339996,86.339996,86.339996,0
2017-09-13,86.540001,86.589996,86.440002,86.589996,86.589996,320
