---
name: "SOM Round 2 — 500 samples"
description: Factor-based strategy search Round 2
variables:
    - top
    - Yield
    - ROC
    - EarningsYield
    - RS(6m)
    - ROA
    - ΔROA
    - AccrualRatio
    - ΔLTDebt-to-Assets
    - ΔCurrentRatio
    - ΔOpMgn
    - ΔAssetTurnover
    - annualized
    - mean
    - std
    - sharpe
    - alpha
    - beta
    - var
    - tvar
inputs: 20
outputs: 0
---
30,500,500,500,500,500,500,500,500,500,500,500,241,253,239,429,272,382,657,750
30,500,500,500,500,500,500,500,500,500,500,500,226,235,215,408,258,330,700,791
30,500,500,500,500,500,500,500,500,500,500,500,228,241,291,363,245,521,543,707
30,500,500,500,500,500,500,500,500,500,500,500,249,266,297,413,271,535,521,693
30,500,500,500,500,500,500,500,500,500,500,500,215,227,281,339,232,492,534,700
30,500,500,500,500,500,500,500,500,500,500,500,265,283,304,444,285,563,496,680
30,500,500,500,500,500,500,500,500,500,500,500,219,231,279,348,240,464,557,720
30,500,500,500,500,500,500,500,500,500,500,500,185,191,256,272,200,436,628,738
30,500,500,500,500,500,500,500,500,500,500,500,226,239,294,358,244,521,479,695
30,500,500,500,500,500,500,500,500,500,500,500,236,252,296,383,257,521,497,684
30,500,500,500,500,500,500,500,500,500,500,500,189,195,257,280,203,450,617,747
30,500,500,500,500,500,500,500,500,500,500,500,279,304,372,434,316,478,527,634
30,500,500,500,500,500,500,500,500,500,500,500,309,333,343,507,355,423,578,660
30,500,500,500,500,500,500,500,500,500,500,500,200,208,268,302,215,464,546,722
30,500,500,500,500,500,500,500,500,500,500,500,298,323,349,486,344,423,584,656
30,500,500,500,500,500,500,500,500,500,500,500,228,242,291,363,245,521,561,701
30,500,500,500,500,500,500,500,500,500,500,500,255,273,301,423,277,535,455,684
30,500,500,500,500,500,500,500,500,500,500,500,296,320,342,486,341,423,593,666
30,500,500,500,500,500,500,500,500,500,500,500,246,262,289,408,268,521,553,695
30,500,500,500,500,500,500,500,500,500,500,500,261,280,316,429,281,576,510,673
30,500,500,500,500,500,500,500,500,500,500,500,233,248,306,368,251,549,471,671
30,500,500,500,500,500,500,500,500,500,500,500,239,256,313,383,255,576,528,676
30,500,500,500,500,500,500,500,500,500,500,500,305,330,348,497,349,436,591,668
30,500,500,500,500,500,500,500,500,500,500,500,329,359,384,518,371,521,520,627
30,500,500,500,500,500,500,500,500,500,500,500,209,221,305,315,221,563,539,692
30,500,500,500,500,500,500,500,500,500,500,500,227,241,300,358,244,549,545,686
30,500,500,500,500,500,500,500,500,500,500,500,222,234,275,358,244,450,617,725
30,500,500,500,500,500,500,500,500,500,500,500,236,252,307,378,254,549,549,691
30,500,500,500,500,500,500,500,500,500,500,500,262,278,262,465,292,450,623,749
30,500,500,500,500,500,500,500,500,500,500,500,205,214,268,315,226,423,653,718
30,500,500,500,500,500,500,500,500,500,500,500,215,224,248,353,240,382,684,750
30,500,500,500,500,500,500,500,500,500,500,500,207,216,257,329,230,395,687,739
30,500,500,500,500,500,500,500,500,500,500,500,232,245,281,378,254,478,571,708
30,500,500,500,500,500,500,500,500,500,500,500,278,300,332,455,310,507,547,668
30,500,500,500,500,500,500,500,500,500,500,500,273,295,340,439,304,507,486,660
30,500,500,500,500,500,500,500,500,500,500,500,225,238,274,368,248,450,644,720
30,500,500,500,500,500,500,500,500,500,500,500,378,410,395,591,423,535,492,598
30,500,500,500,500,500,500,500,500,500,500,500,236,251,302,378,259,478,507,687
30,500,500,500,500,500,500,500,500,500,500,500,270,292,344,434,303,492,524,658
30,500,500,500,500,500,500,500,500,500,500,500,222,234,262,368,242,478,572,741
30,500,500,500,500,500,500,500,500,500,500,500,210,221,276,329,229,450,654,707
30,500,500,500,500,500,500,500,500,500,500,500,259,276,292,434,286,492,520,704
30,500,500,500,500,500,500,500,500,500,500,500,268,285,282,465,293,507,588,717
30,500,500,500,500,500,500,500,500,500,500,500,335,357,282,601,371,492,566,716
30,500,500,500,500,500,500,500,500,500,500,500,216,226,255,353,236,450,585,748
30,500,500,500,500,500,500,500,500,500,500,500,335,361,339,560,385,423,562,665
30,500,500,500,500,500,500,500,500,500,500,500,330,356,343,544,378,436,543,665
30,500,500,500,500,500,500,500,500,500,500,500,248,264,293,413,269,535,595,689
30,500,500,500,500,500,500,500,500,500,500,500,258,276,310,423,284,507,511,681
30,500,500,500,500,500,500,500,500,500,500,500,260,279,305,434,281,563,563,672
30,500,500,500,500,500,500,500,500,500,500,500,253,269,281,429,276,507,607,701
30,500,500,500,500,500,500,500,500,500,500,500,337,363,348,555,384,450,555,657
30,500,500,500,500,500,500,500,500,500,500,500,255,271,269,444,279,492,593,725
30,500,500,500,500,500,500,500,500,500,500,500,247,262,273,418,275,436,655,714
30,500,500,500,500,500,500,500,500,500,500,500,214,225,281,334,237,423,596,715
30,500,500,500,500,500,500,500,500,500,500,500,279,302,339,455,327,369,560,656
30,500,500,500,500,500,500,500,500,500,500,500,213,223,250,348,234,423,611,733
30,500,500,500,500,500,500,500,500,500,500,500,225,238,278,363,252,409,553,719
30,500,500,500,500,500,500,500,500,500,500,500,190,196,248,284,206,423,634,748
30,500,500,500,500,500,500,500,500,500,500,500,268,282,242,492,301,409,694,760
30,500,500,500,500,500,500,500,500,500,500,500,225,234,227,393,254,356,655,770
30,500,500,500,500,500,500,500,500,500,500,500,248,263,275,423,272,492,633,720
30,500,500,500,500,500,500,500,500,500,500,500,196,205,297,284,212,464,544,689
30,500,500,500,500,500,500,500,500,500,500,500,232,247,292,373,251,521,580,703
30,500,500,500,500,500,500,500,500,500,500,500,220,232,282,348,241,478,539,707
30,500,500,500,500,500,500,500,500,500,500,500,342,367,329,576,391,423,622,671
