roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
59.61,9.8,10.51,16.68,0.67,4.69,0.02,1.08,-27.16,-1.71,-38.98,-2.46
153.14,20.41,19.92,18.88,1.09,54.3,0.22,1.04,-27.1,-1.71,-42.9,-2.7
151.03,20.21,19.55,17.77,1.13,56.09,0.22,0.97,-25.81,-1.63,-39.54,-2.49
208.27,25.25,23.87,19.45,1.26,72.53,0.29,1.09,-27.73,-1.75,-44.3,-2.79
186.87,23.46,22.4,19.11,1.2,65.64,0.26,1.07,-26.99,-1.7,-44.02,-2.77
177.5,22.65,21.9,19.84,1.13,60.5,0.24,1.13,-28.77,-1.81,-45.91,-2.89
96.97,14.52,14.72,17.25,0.89,25.0,0.1,1.1,-29.77,-1.88,-40.7,-2.56
173.01,22.25,21.42,19.0,1.16,60.81,0.24,1.07,-27.54,-1.73,-43.79,-2.76
138.42,18.98,18.58,18.03,1.06,43.09,0.17,1.14,-27.96,-1.76,-41.96,-2.64
90.24,13.73,13.98,16.92,0.86,21.71,0.09,1.09,-27.65,-1.74,-40.09,-2.53
101.47,15.04,15.22,17.63,0.9,26.28,0.1,1.13,-28.57,-1.8,-41.26,-2.6
106.04,15.55,15.53,16.89,0.95,30.14,0.12,1.08,-27.13,-1.71,-38.57,-2.43
85.05,13.1,13.55,17.55,0.81,17.47,0.07,1.13,-28.19,-1.78,-41.1,-2.59
167.55,21.75,21.03,19.05,1.14,58.49,0.23,1.08,-27.35,-1.72,-43.42,-2.73
154.82,20.57,20.12,19.28,1.07,53.36,0.21,1.09,-28.35,-1.79,-43.7,-2.75
62.39,10.18,10.97,17.34,0.67,4.96,0.02,1.12,-27.94,-1.76,-40.26,-2.54
81.05,12.6,13.1,17.41,0.79,16.03,0.06,1.11,-28.31,-1.78,-40.7,-2.56
71.99,11.45,11.95,16.52,0.76,13.61,0.05,1.04,-26.22,-1.65,-38.33,-2.41
62.72,10.23,10.87,16.55,0.69,7.29,0.03,1.06,-26.6,-1.68,-38.49,-2.42
104.09,15.34,15.27,16.42,0.97,29.87,0.12,1.06,-25.37,-1.6,-37.9,-2.39
69.64,11.15,11.46,15.18,0.79,15.49,0.06,0.95,-24.81,-1.56,-35.49,-2.24
88.54,13.52,13.52,15.13,0.93,25.97,0.1,0.95,-24.4,-1.54,-34.61,-2.18
81.4,12.65,12.85,15.67,0.86,21.06,0.08,0.98,-24.71,-1.56,-36.19,-2.28
93.42,14.1,14.6,18.57,0.82,22.72,0.09,1.14,-28.99,-1.83,-43.9,-2.77
223.61,26.47,24.99,20.33,1.26,78.73,0.31,1.08,-28.6,-1.8,-47.05,-2.96
110.9,16.1,16.22,18.23,0.92,33.56,0.13,1.08,-29.1,-1.83,-41.99,-2.65
82.92,12.84,13.44,18.22,0.77,18.61,0.07,1.1,-27.99,-1.76,-42.23,-2.66
226.3,26.68,25.16,20.37,1.26,79.62,0.32,1.08,-29.36,-1.85,-47.51,-2.99
221.25,26.29,24.83,20.25,1.26,78.82,0.31,1.06,-29.29,-1.85,-46.44,-2.93
108.67,15.85,16.03,18.33,0.91,33.2,0.13,1.07,-28.28,-1.78,-42.09,-2.65
74.12,11.73,12.1,15.98,0.79,15.17,0.06,1.03,-26.36,-1.66,-37.42,-2.36
83.44,12.9,13.59,18.73,0.76,18.84,0.07,1.11,-28.66,-1.81,-43.34,-2.73
165.47,21.56,20.75,18.42,1.16,54.63,0.22,1.13,-29.17,-1.84,-42.89,-2.7
122.49,17.34,17.02,16.85,1.05,38.38,0.15,1.07,-28.05,-1.77,-39.89,-2.51
159.62,21.02,20.02,16.73,1.23,53.39,0.21,1.07,-27.35,-1.72,-38.87,-2.45
50.65,8.54,9.27,15.99,0.62,0.74,0.0,1.03,-26.04,-1.64,-37.56,-2.37
159.5,21.01,20.28,18.2,1.15,57.34,0.23,1.02,-27.45,-1.73,-41.69,-2.63
196.33,24.27,23.1,19.46,1.22,69.69,0.28,1.06,-28.24,-1.78,-45.3,-2.85
199.98,24.57,23.37,19.58,1.22,70.67,0.28,1.07,-27.37,-1.72,-45.75,-2.88
160.28,21.08,20.39,18.57,1.13,54.37,0.22,1.09,-30.06,-1.89,-42.55,-2.68
101.09,14.99,15.14,17.34,0.91,26.3,0.1,1.12,-27.42,-1.73,-41.35,-2.61
95.21,14.31,14.45,16.71,0.9,24.44,0.1,1.08,-26.43,-1.66,-39.72,-2.5
200.63,24.63,23.36,19.33,1.24,71.23,0.28,1.06,-27.65,-1.74,-45.29,-2.85
79.45,12.41,12.74,16.31,0.82,16.29,0.06,1.07,-27.38,-1.72,-38.72,-2.44
175.13,22.44,21.62,19.27,1.15,63.75,0.25,1.03,-26.87,-1.69,-44.57,-2.81
65.82,10.64,11.26,16.69,0.71,10.97,0.04,1.02,-26.69,-1.68,-38.91,-2.45
146.32,19.76,19.3,18.43,1.08,54.64,0.22,0.97,-25.79,-1.62,-42.42,-2.67
98.12,14.65,14.75,16.81,0.91,28.22,0.11,1.04,-26.57,-1.67,-39.14,-2.47
