w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
-1,-1,0,0,0,0,0,1,1,-1,0,1.16,18.78,-25.93
0,0,-1,0,0,0,1,0,0,0,0,1.09,19.61,-26.22
0,0,-1,0,0,-1,-1,0,0,0,1,0.43,5.08,-24.42
0,0,0,0,0,-1,0,0,-1,0,0,0.98,16.39,-25.18
0,0,0,0,1,1,0,0,-1,0,0,0.82,10.94,-21.18
1,0,0,1,0,0,-1,1,0,0,0,0.57,7.13,-24.61
0,0,0,1,0,0,0,0,0,1,-1,0.75,10.75,-24.96
1,-1,-1,0,-1,1,0,0,-1,0,0,0.83,11.67,-24.41
-1,-1,0,0,0,0,0,1,1,0,-1,1.22,21.2,-28.18
0,0,0,1,0,1,0,0,-1,0,-1,0.91,13.26,-23.08
0,0,0,-1,-1,0,0,1,0,1,0,1.03,17.14,-26.52
0,0,-1,1,0,0,0,0,-1,1,1,0.85,12.94,-26.08
-1,0,0,1,1,0,0,1,0,0,-1,0.99,14.47,-23.56
0,1,1,-1,0,-1,0,0,-1,0,1,0.66,8.35,-23.74
0,0,1,0,-1,0,1,-1,1,0,0,0.62,8.14,-25.2
0,-1,0,1,0,0,0,1,0,-1,0,0.77,10.69,-25.11
1,0,1,1,0,1,-1,1,1,1,-1,1.0,14.48,-22.7
-1,-1,0,0,0,-1,-1,1,0,1,-1,1.23,22.08,-28.3
0,1,0,-1,0,0,0,-1,0,-1,0,0.53,6.47,-22.58
0,-1,0,-1,0,1,1,0,-1,0,0,1.26,23.08,-25.04
-1,1,0,0,1,0,0,-1,0,1,-1,0.85,11.82,-24.61
0,1,-1,1,1,-1,0,0,0,-1,-1,0.73,9.21,-22.8
-1,-1,1,1,-1,0,1,0,0,-1,0,1.18,22.24,-26.88
1,0,-1,0,1,0,1,1,-1,0,0,0.87,10.65,-20.88
0,-1,1,0,1,-1,0,0,-1,1,-1,0.65,7.97,-20.94
0,-1,-1,-1,0,0,0,0,-1,0,0,1.12,21.58,-27.82
-1,0,0,0,-1,1,-1,-1,1,-1,0,0.85,14.62,-30.05
1,1,0,1,0,1,0,1,-1,1,1,0.81,10.91,-23.39
1,-1,0,-1,0,-1,-1,-1,1,0,0,0.58,7.86,-24.59
0,-1,0,0,0,0,0,1,0,1,0,1.09,15.71,-23.34
0,-1,0,1,-1,-1,0,0,1,-1,1,0.67,9.02,-24.85
1,0,1,0,0,0,-1,1,-1,0,-1,0.62,7.61,-22.93
-1,0,0,0,-1,0,-1,1,1,-1,0,1.01,17.14,-27.26
0,0,0,1,0,0,1,-1,0,0,-1,0.64,8.26,-23.62
-1,0,0,0,0,0,0,1,0,0,-1,1.08,17.88,-27.69
0,-1,0,-1,-1,-1,0,0,1,0,1,0.7,10.2,-26.3
0,-1,0,0,0,0,0,1,0,0,0,1.24,19.72,-24.89
1,0,-1,0,-1,1,0,0,1,0,0,0.77,10.93,-24.71
0,0,-1,0,0,0,-1,0,0,0,0,0.88,15.22,-28.24
0,1,1,-1,0,-1,0,0,-1,1,1,0.84,11.06,-22.74
-1,0,-1,1,-1,0,1,0,-1,-1,1,1.05,18.81,-26.64
0,-1,-1,-1,0,1,0,0,1,1,0,1.05,16.58,-24.88
1,0,0,1,0,1,-1,-1,0,0,0,0.68,9.24,-24.91
0,0,1,0,-1,0,0,0,1,1,0,0.88,13.71,-26.6
-1,-1,0,0,1,0,0,-1,1,1,-1,0.83,11.63,-24.6
0,-1,0,1,0,1,0,0,-1,-1,0,0.83,11.51,-23.59
0,0,0,0,0,-1,0,0,-1,1,0,1.09,17.94,-23.51
-1,-1,0,0,-1,1,-1,-1,-1,-1,0,0.82,13.04,-27.17
-1,-1,0,0,0,-1,1,1,0,1,-1,0.96,14.5,-24.68
0,-1,1,0,1,-1,0,0,-1,0,-1,0.63,7.61,-23.24
0,0,1,1,0,0,0,0,0,1,0,0.82,12.58,-25.72
0,0,0,0,0,0,1,0,0,0,0,1.11,19.86,-25.16
0,-1,0,0,-1,0,0,1,0,0,0,0.97,15.87,-27.66
0,0,0,0,0,0,0,1,0,0,-1,1.16,18.11,-24.51
0,0,-1,0,-1,0,-1,0,0,0,1,0.64,9.13,-27.09
-1,-1,0,0,0,0,-1,-1,-1,1,0,0.9,14.03,-26.0
-1,-1,0,1,0,0,0,1,1,0,-1,1.11,17.84,-25.68
-1,-1,0,0,0,-1,0,1,0,1,-1,1.17,20.12,-26.56
0,0,0,-1,-1,0,0,1,0,1,1,0.91,13.82,-25.66
0,-1,0,0,-1,0,0,1,1,0,0,1.09,17.93,-27.81
0,-1,0,0,0,0,0,0,0,1,0,0.95,14.07,-24.14
0,-1,0,0,0,-1,0,1,1,0,-1,1.05,16.27,-25.1
0,0,-1,0,0,0,0,0,1,1,0,0.93,14.14,-25.78
-1,0,-1,0,-1,0,1,1,-1,0,0,0.78,12.39,-28.38
