w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
-1,0,-1,-1,-1,0,0,0,0,0,1,1.14,23.7,-30.82
0,-1,0,0,-1,-1,0,0,0,1,0,1.24,24.51,-28.68
-1,1,-1,0,-1,1,1,0,0,0,-1,1.04,19.29,-28.89
-1,0,-1,1,-1,-1,0,0,0,-1,-1,1.12,22.16,-28.23
-1,1,0,-1,0,0,1,0,0,0,-1,1.14,19.84,-24.92
1,0,1,0,-1,1,1,-1,-1,0,-1,0.78,10.19,-22.62
-1,-1,-1,0,-1,0,-1,1,0,-1,-1,0.96,16.78,-28.76
-1,-1,-1,-1,-1,-1,0,0,0,0,0,1.22,26.09,-31.16
-1,-1,-1,0,-1,0,0,0,-1,1,0,1.17,24.09,-29.81
-1,1,-1,-1,-1,-1,0,0,0,0,-1,1.02,20.88,-30.3
-1,-1,0,-1,0,0,0,1,0,-1,0,0.92,16.46,-28.94
-1,0,0,0,0,0,0,0,1,-1,-1,1.31,25.72,-26.82
-1,0,-1,0,-1,0,-1,0,-1,-1,-1,1.13,22.98,-29.15
0,-1,-1,0,-1,0,0,0,-1,-1,-1,1.13,21.11,-26.88
-1,-1,-1,0,-1,0,0,1,0,-1,1,0.85,14.23,-29.41
-1,0,-1,0,0,0,0,1,0,0,-1,1.03,17.77,-28.32
-1,1,-1,-1,0,0,1,0,0,-1,-1,1.24,24.5,-26.02
-1,1,0,-1,0,0,1,0,1,0,-1,0.78,10.32,-23.38
0,0,0,-1,0,0,1,0,0,0,-1,1.0,16.88,-23.68
-1,0,-1,0,0,-1,-1,0,0,0,-1,1.16,23.98,-30.15
-1,0,-1,0,1,0,0,0,-1,-1,-1,1.28,23.32,-25.36
-1,0,0,-1,0,0,-1,0,0,0,0,1.04,18.46,-28.64
-1,-1,-1,-1,-1,-1,0,1,0,0,0,0.87,15.22,-28.82
-1,-1,0,0,-1,-1,0,0,-1,1,-1,1.12,22.19,-28.35
-1,1,-1,-1,0,-1,0,0,0,1,0,1.22,24.79,-27.8
0,0,-1,-1,-1,0,0,0,0,0,1,0.66,9.66,-26.96
-1,0,-1,-1,0,-1,-1,0,0,1,0,0.98,17.17,-28.15
-1,0,-1,0,-1,0,-1,0,0,0,0,0.9,16.0,-29.72
-1,-1,-1,-1,-1,0,1,0,-1,1,0,1.08,21.48,-29.42
0,-1,0,0,-1,1,0,0,0,0,0,0.95,15.51,-26.32
-1,0,-1,0,-1,1,0,0,1,0,-1,1.02,18.0,-29.31
-1,0,-1,0,1,0,0,0,0,-1,-1,1.32,25.87,-26.36
-1,-1,0,0,-1,0,0,1,0,-1,0,1.02,17.86,-28.54
-1,1,0,-1,0,0,1,0,0,-1,-1,1.1,19.11,-24.94
-1,-1,0,0,-1,1,0,0,1,-1,-1,1.35,29.7,-30.86
-1,0,-1,0,-1,0,-1,1,0,-1,-1,0.91,15.67,-29.54
-1,0,0,0,0,-1,0,0,0,1,0,0.9,13.59,-24.99
-1,-1,-1,0,-1,1,0,0,0,0,-1,1.18,24.66,-30.69
-1,-1,-1,0,-1,0,0,0,0,-1,0,1.21,25.13,-29.53
-1,0,-1,0,1,-1,1,0,0,0,0,1.23,21.73,-24.05
-1,-1,0,-1,0,0,1,0,0,-1,0,1.17,23.26,-27.2
-1,-1,-1,-1,-1,-1,0,0,0,0,-1,1.16,24.6,-29.64
-1,0,-1,0,-1,0,0,0,0,-1,-1,1.22,25.59,-29.27
-1,1,-1,0,-1,0,0,1,0,0,-1,0.93,15.62,-28.23
-1,-1,0,-1,0,0,1,0,1,0,-1,1.24,23.53,-26.68
-1,0,-1,0,-1,0,0,0,0,0,1,0.8,13.32,-29.85
-1,-1,-1,0,-1,1,0,0,0,-1,-1,1.19,25.4,-30.32
-1,-1,0,0,-1,-1,-1,0,0,-1,-1,1.18,24.64,-28.68
-1,-1,0,0,0,0,0,1,0,0,-1,1.19,21.49,-28.42
-1,-1,-1,0,-1,-1,0,0,0,1,0,1.17,24.06,-30.41
-1,-1,-1,-1,-1,0,1,0,0,-1,0,1.13,23.46,-30.45
-1,1,-1,-1,0,-1,0,0,-1,-1,-1,1.1,21.39,-26.54
-1,0,-1,-1,-1,0,0,0,0,0,-1,1.15,24.93,-31.04
-1,0,-1,-1,-1,0,0,0,0,-1,0,1.01,20.81,-31.35
-1,0,-1,-1,0,0,1,0,0,-1,-1,1.3,26.23,-27.41
-1,-1,0,0,-1,0,0,1,0,0,-1,1.13,21.55,-30.45
-1,-1,0,0,-1,1,1,0,1,-1,-1,1.19,23.17,-28.54
-1,-1,-1,0,1,0,0,0,0,-1,0,1.33,27.1,-28.17
-1,0,-1,0,-1,0,0,0,0,0,-1,1.15,24.65,-31.44
-1,-1,-1,-1,-1,0,0,0,0,0,-1,1.23,27.45,-32.19
-1,1,-1,0,1,-1,1,0,0,1,0,0.96,13.11,-22.61
-1,-1,-1,0,-1,0,0,0,0,0,0,1.27,27.39,-30.39
-1,0,-1,0,0,1,0,0,1,0,-1,0.98,16.48,-27.97
-1,0,0,0,0,0,0,0,1,-1,0,1.0,15.54,-26.86
-1,0,0,0,-1,0,0,0,0,-1,-1,1.23,25.83,-28.78
-1,0,0,-1,0,0,-1,0,0,-1,0,0.7,11.51,-27.49
-1,0,-1,0,1,0,0,0,0,1,1,1.06,16.95,-24.61
